time,x,z,mag,evid,tempid
2019-03-14T02:17:53.060000Z,0.062,1.104,2.09932983488,19548,SGC2018yyczk_53066
2019-03-14T02:18:52.120000Z,0.39,0.644,1.76952227324,19549,SGC2018yyczk_34942
2019-03-14T03:34:35.000000Z,0.21,1.218,1.79159957011,19550,SGC2018yyczk_55024
2019-03-14T03:45:52.650000Z,0.305,1.037,1.87635116057,19551,SGC2018yyczk_55024
2019-03-14T03:49:03.180000Z,0.486,0.648,1.88451520615,19552,SGC2018yyczk_34942
2019-03-14T04:17:03.870000Z,0.303,0.567,1.78694457085,19555,SGC2018yyczk_51041
2019-03-14T04:41:40.520000Z,0.206,0.864,1.89679691342,19556,SGC2018yyczk_55024
2019-03-14T04:58:36.780000Z,0.23,1.085,2.18947230953,19557,SGC2018yyczk_56808
2019-03-14T06:11:16.370000Z,0.086,0.796,1.68657639134,19558,SGC2018yyczk_34942
2019-03-14T06:34:36.000000Z,0.034,0.423,1.68654134959,19559,SGC2018yyczk_34942
2019-03-14T07:58:01.570000Z,0.269,0.823,1.94378663989,19560,SGC2018yyczk_34942
2019-03-14T08:40:13.810000Z,0.24,0.639,1.65555637043,19563,SGC2018yyczk_34942
2019-03-14T11:47:52.960000Z,0.318,0.233,2.09782276575,19564,SGC2018yyczk_46457
2019-03-14T15:21:26.520000Z,0.193,0.531,2.02104114013,19565,SGC2018yyczk_46457
2019-03-14T15:47:28.840000Z,0.222,0.887,2.00878777526,19566,SGC2018yyczk_55024
2019-03-14T17:19:36.130000Z,0.282,0.402,1.81777520565,19567,SGC2018yyczk_34942
2019-03-14T17:31:05.280000Z,0.276,0.441,2.59174479292,19568,SGC2018yyczk_51041
2019-03-14T18:09:56.200000Z,0.25,0.502,1.81398478111,19569,SGC2018yyczk_55024
2019-03-14T18:37:46.180000Z,0.361,0.511,1.88699091813,19570,SGC2018yyczk_51041
2019-03-14T18:45:22.580000Z,0.18,0.963,1.94612662214,19571,SGC2018yyczk_55024
2019-03-14T21:25:04.320000Z,0.101,0.862,2.28608271909,19572,SGC2018yyczk_67417
2019-03-14T22:28:12.620000Z,0.31,0.465,2.12405132471,19573,SGC2018yyczk_34942
2019-03-15T01:30:22.820000Z,0.271,1.012,2.51705984754,19574,SGC2018yyczk_61409
2019-03-15T02:36:44.690000Z,0.176,1.331,1.69106860226,19575,SGC2018yyczk_53066
2019-03-15T02:46:16.900000Z,0.275,0.874,2.3167573684,19576,SGC2018yyczk_55024
2019-03-15T02:48:20.800000Z,0.332,0.732,1.7487604302,19577,SGC2018yyczk_34942
2019-03-15T02:55:53.050000Z,0.284,1.178,1.55973798889,19578,SGC2018yyczk_56808
2019-03-15T03:05:32.160000Z,0.258,0.916,1.95613888956,19579,SGC2018yyczk_55024
2019-03-15T03:06:48.030000Z,0.202,0.708,2.61925131761,19580,SGC2018yyczk_34942
2019-03-15T04:21:48.700000Z,0.229,0.864,2.02986501057,19581,SGC2018yyczk_55024
2019-03-15T05:02:28.520000Z,0.217,0.79,2.13168038783,19582,SGC2018yyczk_51041
2019-03-15T05:37:27.180000Z,0.341,0.68,1.83641885189,19583,SGC2018yyczk_51041
2019-03-15T07:11:48.530000Z,0.192,0.875,1.66295832578,19584,SGC2018yyczk_46457
2019-03-15T07:29:24.250000Z,0.281,0.357,1.60289038373,19585,SGC2018yyczk_34942
2019-03-15T08:20:34.880000Z,0.096,0.524,1.54740786165,19586,SGC2018yyczk_51041
2019-03-15T08:29:00.910000Z,0.3,0.525,2.26768867444,19587,SGC2018yyczk_67417
2019-03-15T08:52:38.310000Z,0.396,0.446,1.73036942611,19588,SGC2018yyczk_51041
2019-03-15T09:35:41.890000Z,0.196,0.429,1.60828259438,19589,SGC2018yyczk_51041
2019-03-15T10:18:26.890000Z,0.193,0.443,2.13597183611,19590,SGC2018yyczk_34942
2019-03-15T12:08:21.680000Z,0.303,1.018,1.98051589694,19593,SGC2018yyczk_55024
2019-03-15T12:53:44.810000Z,0.334,1.036,2.1872175626,19594,SGC2018yyczk_67417
2019-03-15T13:09:29.400000Z,0.18,0.541,2.27181399418,19595,SGC2018yyczk_34942
2019-03-15T14:14:10.630000Z,0.155,0.48,2.22242319496,19598,SGC2018yyczk_46457
2019-03-15T14:29:41.970000Z,0.282,0.164,2.18676640276,19599,SGC2018yyczk_51041
